,Name,Favorite_Song,C_ID_t,E_ID_t,Mother,PH_ID_Chicken,PR_ID_Chicken,PH_Name_t,PH_ID_Egg,PR_ID_Egg,I_LOC,NW,Parent_Gen,Father,C_ID_Father,Generation,E_ID_Father,PH_Name_Father,PH_ID,PR_ID,NameCMM,GrandMother,C_IDCMM,E_IDCMM,GrandFather,C_ID_Maternal_Father,E_ID_Maternal_Father,E_IDCM,Mother_I_LOC,E_ID_FatherIL,Father_I_LOC,E_ID,GrandMother_I_LOC,GrandFather_I_LOC
41,Earl,Long Distance Runaround,815034135.0,815034135.0,DEANN,926888028.0,812637399.0,DEANN,926888028.0,812637399.0,B,True,Gen1,Fidel,812637399,Gen1,812637399,Liz,630559425,800981516,DEANN,Pat,926888028,926888028,Ralph,800981516,,926888028,C,812637399,B,926888028,C,C
42,Vincent,Big Gun,597922411.0,597922411.0,DEANN,926888028.0,812637399.0,DEANN,926888028.0,812637399.0,C,False,Gen1,Fidel,812637399,Gen1,812637399,Liz,630559425,800981516,DEANN,Pat,926888028,926888028,Ralph,800981516,,926888028,C,812637399,B,926888028,C,C
43,ELSY,Something,882503217.0,882503217.0,DEANN,926888028.0,895795063.0,DEANN,926888028.0,895795063.0,B,True,Gen1,Deandre,895795063,Gen1,895795063,Mary,225766667,800981516,DEANN,Pat,926888028,926888028,Ralph,800981516,,926888028,C,895795063,B,926888028,C,C
44,Brandan,What Do All The People Know,656287222.0,656287222.0,DEANN,926888028.0,644476251.0,DEANN,926888028.0,644476251.0,A,False,Gen1,Draven,644476251,Gen1,644476251,Pat,631311759,800981516,DEANN,Pat,926888028,926888028,Ralph,800981516,,926888028,C,644476251,A,926888028,C,C
45,DEADRA,Lucky Man,650243572.0,650243572.0,DEANN,926888028.0,586071738.0,DEANN,926888028.0,586071738.0,C,False,Gen1,Bradly,586071738,Gen1,586071738,Mary,225766667,800981516,DEANN,Pat,926888028,926888028,Ralph,800981516,,926888028,C,586071738,B,926888028,C,C
46,LEONE,Changes,18976396.0,18976396.0,DEANN,926888028.0,238679265.0,DEANN,926888028.0,238679265.0,A,False,Gen1,Keyon,238679265,Gen1,238679265,Pat,631311759,800981516,DEANN,Pat,926888028,926888028,Ralph,800981516,,926888028,C,238679265,C,926888028,C,C
47,LORA,Badlands,94486611.0,94486611.0,DEANN,926888028.0,238679265.0,DEANN,926888028.0,238679265.0,A,False,Gen1,Keyon,238679265,Gen1,238679265,Pat,631311759,800981516,DEANN,Pat,926888028,926888028,Ralph,800981516,,926888028,C,238679265,C,926888028,C,C
48,ALESHA,Walk Away,307403748.0,307403748.0,DEANN,926888028.0,170209024.0,DEANN,926888028.0,170209024.0,A,False,Gen1,Carson,170209024,Gen1,170209024,Mary,225766667,800981516,DEANN,Pat,926888028,926888028,Ralph,800981516,,926888028,C,170209024,C,926888028,C,C
49,ULA,Fame,272705541.0,272705541.0,DEANN,926888028.0,499630005.0,DEANN,926888028.0,499630005.0,B,True,Gen1,Landon,499630005,Gen1,499630005,Mary,225766667,800981516,DEANN,Pat,926888028,926888028,Ralph,800981516,,926888028,C,499630005,A,926888028,C,C
50,Kendall,Natural Thing,468517411.0,468517411.0,DEANN,926888028.0,788884932.0,DEANN,926888028.0,788884932.0,B,True,Gen1,Brodie,788884932,Gen1,788884932,Mary,225766667,800981516,DEANN,Pat,926888028,926888028,Ralph,800981516,,926888028,C,788884932,B,926888028,C,C
51,Greyson,Another One Bites the Dust,728243362.0,728243362.0,DEANN,926888028.0,858496373.0,DEANN,926888028.0,858496373.0,A,False,Gen1,Reynaldo,858496373,Gen1,858496373,Mary,225766667,800981516,DEANN,Pat,926888028,926888028,Ralph,800981516,,926888028,C,858496373,B,926888028,C,C
52,Ramon,Under Pressure,932713918.0,932713918.0,DEANN,926888028.0,133989334.0,DEANN,926888028.0,133989334.0,B,True,Gen1,Salvatore,133989334,Gen1,133989334,Barb,397591248,800981516,DEANN,Pat,926888028,926888028,Ralph,800981516,,926888028,C,133989334,B,926888028,C,C
53,AUBREY,The Ripper,689123850.0,689123850.0,DEANN,926888028.0,281222266.0,DEANN,926888028.0,281222266.0,C,False,Gen1,Alberto,281222266,Gen1,281222266,Liz,630559425,800981516,DEANN,Pat,926888028,926888028,Ralph,800981516,,926888028,C,281222266,A,926888028,C,C
54,BELLE,Follow You Follow Me,35824035.0,35824035.0,DEANN,926888028.0,760250469.0,DEANN,926888028.0,760250469.0,C,False,Gen1,Ronaldo,760250469,Gen1,760250469,Barb,397591248,800981516,DEANN,Pat,926888028,926888028,Ralph,800981516,,926888028,C,760250469,A,926888028,C,C
55,KERRIE,Edge of Seventeen,131740026.0,131740026.0,DEANN,926888028.0,701317684.0,DEANN,926888028.0,701317684.0,C,False,Gen1,Tyrese,701317684,Gen1,701317684,Liz,630559425,800981516,DEANN,Pat,926888028,926888028,Ralph,800981516,,926888028,C,701317684,B,926888028,C,C
56,JEN,Listen To Your Heart,742305250.0,742305250.0,DEANN,926888028.0,673417016.0,DEANN,926888028.0,673417016.0,A,False,Gen1,Ayden,673417016,Gen1,673417016,Barb,397591248,800981516,DEANN,Pat,926888028,926888028,Ralph,800981516,,926888028,C,673417016,A,926888028,C,C
57,VERONIQUE,GIMME SOME LOVIN',414391938.0,414391938.0,ELIZA,781565078.0,159398693.0,ELIZA,781565078.0,159398693.0,B,True,Gen1,Rowan,159398693,Gen1,159398693,Liz,630559425,800981516,ELIZA,Mary,781565078,781565078,Ralph,800981516,,781565078,C,159398693,A,781565078,C,C
58,ARLEAN,Top Jimmy,597867014.0,597867014.0,ELIZA,781565078.0,472726931.0,ELIZA,781565078.0,472726931.0,C,False,Gen1,Darius,472726931,Gen1,472726931,Liz,630559425,800981516,ELIZA,Mary,781565078,781565078,Ralph,800981516,,781565078,C,472726931,B,781565078,C,C
59,Kory,Miami 2017 (Seen The Lights Go Out On Broadway) (live 1,933297110.0,933297110.0,ELIZA,781565078.0,704616095.0,ELIZA,781565078.0,704616095.0,B,True,Gen1,Easton,704616095,Gen1,704616095,Mary,225766667,800981516,ELIZA,Mary,781565078,781565078,Ralph,800981516,,781565078,C,704616095,A,781565078,C,C
60,KAREN,18 And Life,56698923.0,56698923.0,ELIZA,781565078.0,95909451.0,ELIZA,781565078.0,95909451.0,A,False,Gen1,Forrest,95909451,Gen1,95909451,Pat,631311759,800981516,ELIZA,Mary,781565078,781565078,Ralph,800981516,,781565078,C,95909451,C,781565078,C,C
61,ROMANA,Cherry Pie,971191026.0,971191026.0,ELIZA,781565078.0,215097449.0,ELIZA,781565078.0,215097449.0,B,True,Gen1,Shane,215097449,Gen1,215097449,Barb,397591248,800981516,ELIZA,Mary,781565078,781565078,Ralph,800981516,,781565078,C,215097449,B,781565078,C,C
62,Braeden,(You Gotta) Fight for Your Right (To Party),994679776.0,994679776.0,ELIZA,781565078.0,586071738.0,ELIZA,781565078.0,586071738.0,C,False,Gen1,Bradly,586071738,Gen1,586071738,Mary,225766667,800981516,ELIZA,Mary,781565078,781565078,Ralph,800981516,,781565078,C,586071738,B,781565078,C,C
63,Cameron,Walk On The Wild Side,947494103.0,947494103.0,ELIZA,781565078.0,562628161.0,ELIZA,781565078.0,562628161.0,B,True,Gen1,Keaton,562628161,Gen1,562628161,Mary,225766667,800981516,ELIZA,Mary,781565078,781565078,Ralph,800981516,,781565078,C,562628161,A,781565078,C,C
64,LETTY,Midnight Blue,206358336.0,206358336.0,ELIZA,781565078.0,734902635.0,ELIZA,781565078.0,734902635.0,B,True,Gen1,Santos,734902635,Gen1,734902635,Mary,225766667,800981516,ELIZA,Mary,781565078,781565078,Ralph,800981516,,781565078,C,734902635,B,781565078,C,C
65,Malcolm,Breakdown,220651411.0,220651411.0,ELIZA,781565078.0,734902635.0,ELIZA,781565078.0,734902635.0,A,False,Gen1,Santos,734902635,Gen1,734902635,Mary,225766667,800981516,ELIZA,Mary,781565078,781565078,Ralph,800981516,,781565078,C,734902635,B,781565078,C,C
66,Cornelius,Hush,991489503.0,991489503.0,ELIZA,781565078.0,315771200.0,ELIZA,781565078.0,315771200.0,A,False,Gen1,Terrance,315771200,Gen1,315771200,Pat,631311759,800981516,ELIZA,Mary,781565078,781565078,Ralph,800981516,,781565078,C,315771200,B,781565078,C,C
67,ELLEN,Right Down the Line,589012402.0,589012402.0,ELIZA,781565078.0,275508229.0,ELIZA,781565078.0,275508229.0,A,False,Gen1,Evan,275508229,Gen1,275508229,Pat,631311759,800981516,ELIZA,Mary,781565078,781565078,Ralph,800981516,,781565078,C,275508229,B,781565078,C,C
68,Will,Ziggy Stardust,223996931.0,223996931.0,ELIZA,781565078.0,318423581.0,ELIZA,781565078.0,318423581.0,C,False,Gen1,Orion,318423581,Gen1,318423581,Barb,397591248,800981516,ELIZA,Mary,781565078,781565078,Ralph,800981516,,781565078,C,318423581,C,781565078,C,C
69,Casey,19th Nervous Breakdown,11615033.0,11615033.0,ELIZA,781565078.0,500829711.0,ELIZA,781565078.0,500829711.0,A,False,Gen1,Shea,500829711,Gen1,500829711,Pat,631311759,800981516,ELIZA,Mary,781565078,781565078,Ralph,800981516,,781565078,C,500829711,C,781565078,C,C
70,Milton,No Sugar Tonight / New Mother Nature,223276743.0,223276743.0,ELIZA,781565078.0,170209024.0,ELIZA,781565078.0,170209024.0,C,False,Gen1,Carson,170209024,Gen1,170209024,Mary,225766667,800981516,ELIZA,Mary,781565078,781565078,Ralph,800981516,,781565078,C,170209024,C,781565078,C,C
71,JALEESA,Under the Bridge,567235474.0,567235474.0,ELIZA,781565078.0,291924095.0,ELIZA,781565078.0,291924095.0,A,False,Gen1,Adonis,291924095,Gen1,291924095,Pat,631311759,800981516,ELIZA,Mary,781565078,781565078,Ralph,800981516,,781565078,C,291924095,B,781565078,C,C
72,CORDIA,One Love,465067718.0,465067718.0,ELIZA,781565078.0,585598796.0,ELIZA,781565078.0,585598796.0,C,False,Gen1,Maxwell,585598796,Gen1,585598796,Barb,397591248,800981516,ELIZA,Mary,781565078,781565078,Ralph,800981516,,781565078,C,585598796,B,781565078,C,C
73,Jamarcus,TALK OF THE TOWN,541481224.0,541481224.0,ELIZA,781565078.0,281222266.0,ELIZA,781565078.0,281222266.0,C,False,Gen1,Alberto,281222266,Gen1,281222266,Liz,630559425,800981516,ELIZA,Mary,781565078,781565078,Ralph,800981516,,781565078,C,281222266,A,781565078,C,C
74,Kade,Sweet Home Alabama,520508671.0,520508671.0,ELIZA,781565078.0,742024162.0,ELIZA,781565078.0,742024162.0,B,True,Gen1,Tariq,742024162,Gen1,742024162,Pat,631311759,800981516,ELIZA,Mary,781565078,781565078,Ralph,800981516,,781565078,C,742024162,B,781565078,C,C
75,Alden,Sweet Jane (Live),942810881.0,942810881.0,ELIZA,781565078.0,764666112.0,ELIZA,781565078.0,764666112.0,B,True,Gen1,Owen,764666112,Gen1,764666112,Barb,397591248,800981516,ELIZA,Mary,781565078,781565078,Ralph,800981516,,781565078,C,764666112,A,781565078,C,C
76,JAMEY,Analog Man,819647734.0,819647734.0,ELIZA,781565078.0,701317684.0,ELIZA,781565078.0,701317684.0,B,True,Gen1,Tyrese,701317684,Gen1,701317684,Liz,630559425,800981516,ELIZA,Mary,781565078,781565078,Ralph,800981516,,781565078,C,701317684,B,781565078,C,C
77,Nathan,Nothing Else Matters,174767149.0,174767149.0,ALAINE,76709333.0,159398693.0,ALAINE,76709333.0,159398693.0,A,False,Gen1,Rowan,159398693,Gen1,159398693,Liz,630559425,800981516,ALAINE,Barb,76709333,76709333,Ralph,800981516,,76709333,C,159398693,A,76709333,C,C
78,Bailey,House Of Fire,282578300.0,282578300.0,ALAINE,76709333.0,472726931.0,ALAINE,76709333.0,472726931.0,A,False,Gen1,Darius,472726931,Gen1,472726931,Liz,630559425,800981516,ALAINE,Barb,76709333,76709333,Ralph,800981516,,76709333,C,472726931,B,76709333,C,C
79,ASHLYN,Big City Nights,915140514.0,915140514.0,ALAINE,76709333.0,883399077.0,ALAINE,76709333.0,883399077.0,A,False,Gen1,Brad,883399077,Gen1,883399077,Mary,225766667,800981516,ALAINE,Barb,76709333,76709333,Ralph,800981516,,76709333,C,883399077,B,76709333,C,C
80,BETH,Ain't Even Done With the Night,189928254.0,189928254.0,ALAINE,76709333.0,899766072.0,ALAINE,76709333.0,899766072.0,B,True,Gen1,Daryl,899766072,Gen1,899766072,Mary,225766667,800981516,ALAINE,Barb,76709333,76709333,Ralph,800981516,,76709333,C,899766072,B,76709333,C,C
81,NICHELLE,Listen To The Music,315960850.0,315960850.0,ALAINE,76709333.0,410735727.0,ALAINE,76709333.0,410735727.0,C,False,Gen1,Agustin,410735727,Gen1,410735727,Liz,630559425,800981516,ALAINE,Barb,76709333,76709333,Ralph,800981516,,76709333,C,410735727,C,76709333,C,C
82,SHAREE,Dog Eat Dog,380304562.0,380304562.0,ALAINE,76709333.0,215097449.0,ALAINE,76709333.0,215097449.0,A,False,Gen1,Shane,215097449,Gen1,215097449,Barb,397591248,800981516,ALAINE,Barb,76709333,76709333,Ralph,800981516,,76709333,C,215097449,B,76709333,C,C
83,Edgar,Jump into the Fire,744382747.0,744382747.0,ALAINE,76709333.0,895795063.0,ALAINE,76709333.0,895795063.0,C,False,Gen1,Deandre,895795063,Gen1,895795063,Mary,225766667,800981516,ALAINE,Barb,76709333,76709333,Ralph,800981516,,76709333,C,895795063,B,76709333,C,C
84,Ray,South California Purples,508136483.0,508136483.0,ALAINE,76709333.0,275508229.0,ALAINE,76709333.0,275508229.0,A,False,Gen1,Evan,275508229,Gen1,275508229,Pat,631311759,800981516,ALAINE,Barb,76709333,76709333,Ralph,800981516,,76709333,C,275508229,B,76709333,C,C
85,CHRISTINE,Centerfold,873874765.0,873874765.0,ALAINE,76709333.0,934877622.0,ALAINE,76709333.0,934877622.0,C,False,Gen1,Cruz,934877622,Gen1,934877622,Mary,225766667,800981516,ALAINE,Barb,76709333,76709333,Ralph,800981516,,76709333,C,934877622,B,76709333,C,C
86,Matteo,Carry On Wayward Son,192651379.0,192651379.0,ALAINE,76709333.0,934877622.0,ALAINE,76709333.0,934877622.0,A,False,Gen1,Cruz,934877622,Gen1,934877622,Mary,225766667,800981516,ALAINE,Barb,76709333,76709333,Ralph,800981516,,76709333,C,934877622,B,76709333,C,C
87,DEBORAH,Strawberry Fields Forever,685016308.0,685016308.0,ALAINE,76709333.0,51506173.0,ALAINE,76709333.0,51506173.0,B,True,Gen1,Jaren,51506173,Gen1,51506173,Barb,397591248,800981516,ALAINE,Barb,76709333,76709333,Ralph,800981516,,76709333,C,51506173,C,76709333,C,C
