,Name,Favorite_Song,C_IDtwr,E_IDtwr,Mother,PH_ID_Chicken,PR_ID_Chicken,PH_Name,PH_ID_Egg,PR_ID_Egg,I_LOC,NW,Parent_Gen,Father,C_ID_Father,Generation,E_ID_Father,PH_Name_Father,PH_ID,PR_ID,GrandMother,C_ID_Maternal_Mother,E_ID_Maternal_Mother,GrandFather,C_ID,E_IDChicken,E_ID_MotherIL,Mother_I_LOC,E_IDCMF,Father_I_LOC,E_ID_GrandMother_IL,GrandMother_I_LOC,E_ID,GrandFather_I_LOC
14,Cristobal,In Your Eyes,244801043.0,244801043.0,LOLITA,4048737.0,118622698.0,LOLITA,4048737.0,118622698.0,C,False,Gen1,Clay,118622698,Gen1,118622698,Liz,630559425,800981516,LOLITA,4048737,4048737,Ralph,800981516,,4048737,A,118622698,B,4048737,A,118622698,B
15,Benjamin,Runaway,620257952.0,620257952.0,NELL,477863457.0,118622698.0,NELL,477863457.0,118622698.0,A,False,Gen1,Clay,118622698,Gen1,118622698,Liz,630559425,800981516,NELL,477863457,477863457,Ralph,800981516,,477863457,C,118622698,B,477863457,C,118622698,B
16,Jaime,When I Come Around,8883290.0,8883290.0,ASHTON,811262246.0,118622698.0,ASHTON,811262246.0,118622698.0,A,False,Gen1,Clay,118622698,Gen1,118622698,Liz,630559425,800981516,ASHTON,811262246,811262246,Ralph,800981516,,811262246,A,118622698,B,811262246,A,118622698,B
17,Tyrone,Heard It On the X,622503054.0,622503054.0,SALLIE,68174929.0,118622698.0,SALLIE,68174929.0,118622698.0,B,True,Gen1,Clay,118622698,Gen1,118622698,Liz,630559425,800981516,SALLIE,68174929,68174929,Ralph,800981516,,68174929,C,118622698,B,68174929,C,118622698,B
18,ANNIKA,Getting Better,98120788.0,98120788.0,ROXANNA,858850087.0,837680646.0,ROXANNA,858850087.0,837680646.0,B,True,Gen1,Jaylin,837680646,Gen1,837680646,Pat,631311759,800981516,ROXANNA,858850087,858850087,Ralph,800981516,,858850087,B,837680646,A,858850087,B,837680646,A
19,Ryley,Don't Go Away Mad (Just Go Away),443958769.0,443958769.0,JOANE,284906937.0,837680646.0,JOANE,284906937.0,837680646.0,A,False,Gen1,Jaylin,837680646,Gen1,837680646,Pat,631311759,800981516,JOANE,284906937,284906937,Ralph,800981516,,284906937,C,837680646,A,284906937,C,837680646,A
20,LATASHIA,Natural Thing,265116928.0,265116928.0,MALORIE,785972587.0,837680646.0,MALORIE,785972587.0,837680646.0,A,False,Gen1,Jaylin,837680646,Gen1,837680646,Pat,631311759,800981516,MALORIE,785972587,785972587,Ralph,800981516,,785972587,B,837680646,A,785972587,B,837680646,A
21,Raven,Born On the Bayou,319883789.0,319883789.0,ADRIANNA,895601231.0,837680646.0,ADRIANNA,895601231.0,837680646.0,C,False,Gen1,Jaylin,837680646,Gen1,837680646,Pat,631311759,800981516,ADRIANNA,895601231,895601231,Ralph,800981516,,895601231,C,837680646,A,895601231,C,837680646,A
22,ANGIE,It's the End of the World As We Know It (And I Feel Fine),136477242.0,136477242.0,RUBIE,449188808.0,837680646.0,RUBIE,449188808.0,837680646.0,B,True,Gen1,Jaylin,837680646,Gen1,837680646,Pat,631311759,800981516,RUBIE,449188808,449188808,Ralph,800981516,,449188808,C,837680646,A,449188808,C,837680646,A
23,NINA,Live and Let Die,885697031.0,885697031.0,CLARINE,942656235.0,837680646.0,CLARINE,942656235.0,837680646.0,A,False,Gen1,Jaylin,837680646,Gen1,837680646,Pat,631311759,800981516,CLARINE,942656235,942656235,Ralph,800981516,,942656235,B,837680646,A,942656235,B,837680646,A
24,KLARA,Summer Song,205111123.0,205111123.0,CLARINE,942656235.0,837680646.0,CLARINE,942656235.0,837680646.0,B,True,Gen1,Jaylin,837680646,Gen1,837680646,Pat,631311759,800981516,CLARINE,942656235,942656235,Ralph,800981516,,942656235,B,837680646,A,942656235,B,837680646,A
25,EURA,Wind Of Change,213579057.0,213579057.0,BARBIE,849686314.0,837680646.0,BARBIE,849686314.0,837680646.0,B,True,Gen1,Jaylin,837680646,Gen1,837680646,Pat,631311759,800981516,BARBIE,849686314,849686314,Ralph,800981516,,849686314,A,837680646,A,849686314,A,837680646,A
26,Draven,Sweet Emotion,378922237.0,378922237.0,BARBIE,849686314.0,837680646.0,BARBIE,849686314.0,837680646.0,A,False,Gen1,Jaylin,837680646,Gen1,837680646,Pat,631311759,800981516,BARBIE,849686314,849686314,Ralph,800981516,,849686314,A,837680646,A,849686314,A,837680646,A
27,Corey,And She Was,902873628.0,902873628.0,BARBIE,849686314.0,837680646.0,BARBIE,849686314.0,837680646.0,B,True,Gen1,Jaylin,837680646,Gen1,837680646,Pat,631311759,800981516,BARBIE,849686314,849686314,Ralph,800981516,,849686314,A,837680646,A,849686314,A,837680646,A
28,JANA,South City Midnight Lady,527986365.0,527986365.0,HWA,265602119.0,837680646.0,HWA,265602119.0,837680646.0,B,True,Gen1,Jaylin,837680646,Gen1,837680646,Pat,631311759,800981516,HWA,265602119,265602119,Ralph,800981516,,265602119,C,837680646,A,265602119,C,837680646,A
29,TAMIE,Long Haired Country Boy,560452393.0,560452393.0,SHELLIE,966283262.0,837680646.0,SHELLIE,966283262.0,837680646.0,B,True,Gen1,Jaylin,837680646,Gen1,837680646,Pat,631311759,800981516,SHELLIE,966283262,966283262,Ralph,800981516,,966283262,C,837680646,A,966283262,C,837680646,A
30,Brennon,Fool For The City,771902089.0,771902089.0,ALINA,813486861.0,837680646.0,ALINA,813486861.0,837680646.0,B,True,Gen1,Jaylin,837680646,Gen1,837680646,Pat,631311759,800981516,ALINA,813486861,813486861,Ralph,800981516,,813486861,C,837680646,A,813486861,C,837680646,A
31,FLOSSIE,Going Mobile,498821608.0,498821608.0,HELLEN,172209298.0,837680646.0,HELLEN,172209298.0,837680646.0,C,False,Gen1,Jaylin,837680646,Gen1,837680646,Pat,631311759,800981516,HELLEN,172209298,172209298,Ralph,800981516,,172209298,C,837680646,A,172209298,C,837680646,A
32,Eric,Feeling That Way,849039891.0,849039891.0,BARBRA,142444833.0,837680646.0,BARBRA,142444833.0,837680646.0,B,True,Gen1,Jaylin,837680646,Gen1,837680646,Pat,631311759,800981516,BARBRA,142444833,142444833,Ralph,800981516,,142444833,C,837680646,A,142444833,C,837680646,A
33,BRIANNE,Question,253505168.0,253505168.0,RUFINA,908492913.0,837680646.0,RUFINA,908492913.0,837680646.0,A,False,Gen1,Jaylin,837680646,Gen1,837680646,Pat,631311759,800981516,RUFINA,908492913,908492913,Ralph,800981516,,908492913,A,837680646,A,908492913,A,837680646,A
34,Deangelo,Rainbow In the Dark,92908535.0,92908535.0,FERMINA,167740021.0,837680646.0,FERMINA,167740021.0,837680646.0,A,False,Gen1,Jaylin,837680646,Gen1,837680646,Pat,631311759,800981516,FERMINA,167740021,167740021,Ralph,800981516,,167740021,B,837680646,A,167740021,B,837680646,A
35,JULIA,Love the One You're With,288780100.0,288780100.0,ROXANNA,858850087.0,298477224.0,ROXANNA,858850087.0,298477224.0,C,False,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,ROXANNA,858850087,858850087,Ralph,800981516,,858850087,B,298477224,B,858850087,B,298477224,B
36,Carter,Get Off Of My Cloud,661564566.0,661564566.0,JOANE,284906937.0,298477224.0,JOANE,284906937.0,298477224.0,B,True,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,JOANE,284906937,284906937,Ralph,800981516,,284906937,C,298477224,B,284906937,C,298477224,B
37,LUE,In the Light,708847598.0,708847598.0,ADRIANNA,895601231.0,298477224.0,ADRIANNA,895601231.0,298477224.0,C,False,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,ADRIANNA,895601231,895601231,Ralph,800981516,,895601231,C,298477224,B,895601231,C,298477224,B
38,ALAINA,Run With The Pack,228902832.0,228902832.0,SONG,739930909.0,298477224.0,SONG,739930909.0,298477224.0,C,False,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,SONG,739930909,739930909,Ralph,800981516,,739930909,A,298477224,B,739930909,A,298477224,B
39,LEILA,Custard Pie,648532749.0,648532749.0,SONG,739930909.0,298477224.0,SONG,739930909.0,298477224.0,A,False,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,SONG,739930909,739930909,Ralph,800981516,,739930909,A,298477224,B,739930909,A,298477224,B
40,Easton,"Hey Hey, My My",913626527.0,913626527.0,SONG,739930909.0,298477224.0,SONG,739930909.0,298477224.0,B,True,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,SONG,739930909,739930909,Ralph,800981516,,739930909,A,298477224,B,739930909,A,298477224,B
41,ALEXIA,She's Tight,870037838.0,870037838.0,RUBIE,449188808.0,298477224.0,RUBIE,449188808.0,298477224.0,C,False,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,RUBIE,449188808,449188808,Ralph,800981516,,449188808,C,298477224,B,449188808,C,298477224,B
42,Jalen,Seven Bridges Road,750787306.0,750787306.0,RUBIE,449188808.0,298477224.0,RUBIE,449188808.0,298477224.0,A,False,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,RUBIE,449188808,449188808,Ralph,800981516,,449188808,C,298477224,B,449188808,C,298477224,B
43,RAINA,Hypnotized,894595853.0,894595853.0,ALEXANDRA,204287992.0,298477224.0,ALEXANDRA,204287992.0,298477224.0,B,True,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,ALEXANDRA,204287992,204287992,Ralph,800981516,,204287992,C,298477224,B,204287992,C,298477224,B
44,LASHONDA,You May Be Right,653074719.0,653074719.0,CLARINE,942656235.0,298477224.0,CLARINE,942656235.0,298477224.0,A,False,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,CLARINE,942656235,942656235,Ralph,800981516,,942656235,B,298477224,B,942656235,B,298477224,B
45,NGA,Hot for Teacher,653074719.0,653074719.0,CLARINE,942656235.0,298477224.0,CLARINE,942656235.0,298477224.0,A,False,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,CLARINE,942656235,942656235,Ralph,800981516,,942656235,B,298477224,B,942656235,B,298477224,B
46,MARCELENE,Long Cool Woman,898393700.0,898393700.0,CLARINE,942656235.0,298477224.0,CLARINE,942656235.0,298477224.0,A,False,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,CLARINE,942656235,942656235,Ralph,800981516,,942656235,B,298477224,B,942656235,B,298477224,B
47,Irving,Bad Reputation,841059843.0,841059843.0,CLARINE,942656235.0,298477224.0,CLARINE,942656235.0,298477224.0,A,False,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,CLARINE,942656235,942656235,Ralph,800981516,,942656235,B,298477224,B,942656235,B,298477224,B
48,AKIKO,Armageddon It,985118078.0,985118078.0,SHENIKA,414449737.0,298477224.0,SHENIKA,414449737.0,298477224.0,C,False,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,SHENIKA,414449737,414449737,Ralph,800981516,,414449737,A,298477224,B,414449737,A,298477224,B
49,Adam,I'm Free,985118078.0,985118078.0,SHENIKA,414449737.0,298477224.0,SHENIKA,414449737.0,298477224.0,C,False,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,SHENIKA,414449737,414449737,Ralph,800981516,,414449737,A,298477224,B,414449737,A,298477224,B
50,ELEANORE,Roxanne,817041318.0,817041318.0,LOLITA,4048737.0,298477224.0,LOLITA,4048737.0,298477224.0,A,False,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,LOLITA,4048737,4048737,Ralph,800981516,,4048737,A,298477224,B,4048737,A,298477224,B
51,Rashawn,You'll Accompany Me,454113577.0,454113577.0,LOLITA,4048737.0,298477224.0,LOLITA,4048737.0,298477224.0,A,False,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,LOLITA,4048737,4048737,Ralph,800981516,,4048737,A,298477224,B,4048737,A,298477224,B
52,OTILIA,Mama,962014293.0,962014293.0,SALLIE,68174929.0,298477224.0,SALLIE,68174929.0,298477224.0,B,True,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,SALLIE,68174929,68174929,Ralph,800981516,,68174929,C,298477224,B,68174929,C,298477224,B
53,Mario,Never Going Back Again,584032218.0,584032218.0,BARBIE,849686314.0,298477224.0,BARBIE,849686314.0,298477224.0,A,False,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,BARBIE,849686314,849686314,Ralph,800981516,,849686314,A,298477224,B,849686314,A,298477224,B
54,EUGENA,You Could Be Mine,734085883.0,734085883.0,HWA,265602119.0,298477224.0,HWA,265602119.0,298477224.0,C,False,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,HWA,265602119,265602119,Ralph,800981516,,265602119,C,298477224,B,265602119,C,298477224,B
55,MUI,From Me To You,129314744.0,129314744.0,SHELLIE,966283262.0,298477224.0,SHELLIE,966283262.0,298477224.0,B,True,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,SHELLIE,966283262,966283262,Ralph,800981516,,966283262,C,298477224,B,966283262,C,298477224,B
56,Conner,Red House,779100744.0,779100744.0,SHELLIE,966283262.0,298477224.0,SHELLIE,966283262.0,298477224.0,B,True,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,SHELLIE,966283262,966283262,Ralph,800981516,,966283262,C,298477224,B,966283262,C,298477224,B
57,BLAIR,Landslide,255310832.0,255310832.0,ALINA,813486861.0,298477224.0,ALINA,813486861.0,298477224.0,A,False,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,ALINA,813486861,813486861,Ralph,800981516,,813486861,C,298477224,B,813486861,C,298477224,B
58,Branson,Hello Again,431159284.0,431159284.0,HELLEN,172209298.0,298477224.0,HELLEN,172209298.0,298477224.0,A,False,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,HELLEN,172209298,172209298,Ralph,800981516,,172209298,C,298477224,B,172209298,C,298477224,B
59,Desmond,Another Brick In The Wall,148704030.0,148704030.0,HELLEN,172209298.0,298477224.0,HELLEN,172209298.0,298477224.0,A,False,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,HELLEN,172209298,172209298,Ralph,800981516,,172209298,C,298477224,B,172209298,C,298477224,B
60,Kane,Time Waits for No One,659378829.0,659378829.0,RUFINA,908492913.0,298477224.0,RUFINA,908492913.0,298477224.0,A,False,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,RUFINA,908492913,908492913,Ralph,800981516,,908492913,A,298477224,B,908492913,A,298477224,B
61,Jarrett,Movin' On,565930482.0,565930482.0,PENELOPE,384042912.0,298477224.0,PENELOPE,384042912.0,298477224.0,A,False,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,PENELOPE,384042912,384042912,Ralph,800981516,,384042912,C,298477224,B,384042912,C,298477224,B
62,LAWANNA,Freeze-frame,774152969.0,774152969.0,GIANNA,52478713.0,298477224.0,GIANNA,52478713.0,298477224.0,B,True,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,GIANNA,52478713,52478713,Ralph,800981516,,52478713,C,298477224,B,52478713,C,298477224,B
63,Name,Rock and Roll,79747763.0,79747763.0,GIANNA,52478713.0,298477224.0,GIANNA,52478713.0,298477224.0,A,False,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,GIANNA,52478713,52478713,Ralph,800981516,,52478713,C,298477224,B,52478713,C,298477224,B
64,SHEILAH,Mr. Crowley,705957432.0,705957432.0,ZORAIDA,614206375.0,298477224.0,ZORAIDA,614206375.0,298477224.0,C,False,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,ZORAIDA,614206375,614206375,Ralph,800981516,,614206375,C,298477224,B,614206375,C,298477224,B
65,DULCE,Norwegian Wood,713428074.0,713428074.0,GWENN,109882960.0,298477224.0,GWENN,109882960.0,298477224.0,B,True,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,GWENN,109882960,109882960,Ralph,800981516,,109882960,A,298477224,B,109882960,A,298477224,B
66,DULCE,Norwegian Wood,713428074.0,713428074.0,GWENN,109882960.0,298477224.0,GWENN,109882960.0,298477224.0,B,True,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,Randy,109882960,109882960,Ralph,800981516,,109882960,A,298477224,B,109882960,A,298477224,B
67,PEARLENE,Slide It In,461098737.0,461098737.0,GWENN,109882960.0,298477224.0,GWENN,109882960.0,298477224.0,B,True,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,GWENN,109882960,109882960,Ralph,800981516,,109882960,A,298477224,B,109882960,A,298477224,B
68,PEARLENE,Slide It In,461098737.0,461098737.0,GWENN,109882960.0,298477224.0,GWENN,109882960.0,298477224.0,B,True,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,Randy,109882960,109882960,Ralph,800981516,,109882960,A,298477224,B,109882960,A,298477224,B
69,Fabian,Yankee Rose,455890618.0,455890618.0,LISE,823242036.0,298477224.0,LISE,823242036.0,298477224.0,A,False,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,LISE,823242036,823242036,Ralph,800981516,,823242036,B,298477224,B,823242036,B,298477224,B
70,Julien,Never,80106397.0,80106397.0,LISE,823242036.0,298477224.0,LISE,823242036.0,298477224.0,B,True,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,LISE,823242036,823242036,Ralph,800981516,,823242036,B,298477224,B,823242036,B,298477224,B
71,HIEDI,YOU GOTTA MOVE,225857887.0,225857887.0,AURA,931542825.0,298477224.0,AURA,931542825.0,298477224.0,A,False,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,AURA,931542825,931542825,Ralph,800981516,,931542825,C,298477224,B,931542825,C,298477224,B
72,MEGGAN,What I Got,282380636.0,282380636.0,OCTAVIA,873742803.0,298477224.0,OCTAVIA,873742803.0,298477224.0,B,True,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,OCTAVIA,873742803,873742803,Ralph,800981516,,873742803,B,298477224,B,873742803,B,298477224,B
73,SHARELL,Hot Dog,308789455.0,308789455.0,SHAROLYN,492831188.0,298477224.0,SHAROLYN,492831188.0,298477224.0,A,False,Gen1,Brad,298477224,Gen1,298477224,Mary,225766667,800981516,SHAROLYN,492831188,492831188,Ralph,800981516,,492831188,C,298477224,B,492831188,C,298477224,B
74,LAURA,The Spirit of Radio,603641739.0,603641739.0,ROXANNA,858850087.0,555219015.0,ROXANNA,858850087.0,555219015.0,A,False,Gen1,Easton,555219015,Gen1,555219015,Pat,631311759,800981516,ROXANNA,858850087,858850087,Ralph,800981516,,858850087,B,555219015,C,858850087,B,555219015,C
75,MAISHA,Beast Of Burden,935657717.0,935657717.0,LILIANA,154656326.0,555219015.0,LILIANA,154656326.0,555219015.0,C,False,Gen1,Easton,555219015,Gen1,555219015,Pat,631311759,800981516,LILIANA,154656326,154656326,Ralph,800981516,,154656326,A,555219015,C,154656326,A,555219015,C
76,Jan,Everybody's Got Something To Hide Except Me And My Monk,298974365.0,298974365.0,LILIANA,154656326.0,555219015.0,LILIANA,154656326.0,555219015.0,B,True,Gen1,Easton,555219015,Gen1,555219015,Pat,631311759,800981516,LILIANA,154656326,154656326,Ralph,800981516,,154656326,A,555219015,C,154656326,A,555219015,C
77,MAYRA,Rock Around the Clock,261993882.0,261993882.0,RUBIE,449188808.0,555219015.0,RUBIE,449188808.0,555219015.0,B,True,Gen1,Easton,555219015,Gen1,555219015,Pat,631311759,800981516,RUBIE,449188808,449188808,Ralph,800981516,,449188808,C,555219015,C,449188808,C,555219015,C
78,Eliseo,Runnin' Down a Dream,543197989.0,543197989.0,RUBIE,449188808.0,555219015.0,RUBIE,449188808.0,555219015.0,B,True,Gen1,Easton,555219015,Gen1,555219015,Pat,631311759,800981516,RUBIE,449188808,449188808,Ralph,800981516,,449188808,C,555219015,C,449188808,C,555219015,C
79,CAROLL,Jamie's Cryin',142168093.0,142168093.0,ASHTON,811262246.0,555219015.0,ASHTON,811262246.0,555219015.0,A,False,Gen1,Easton,555219015,Gen1,555219015,Pat,631311759,800981516,ASHTON,811262246,811262246,Ralph,800981516,,811262246,A,555219015,C,811262246,A,555219015,C
80,KELLI,This Beat Goes on/Switching to Glide,752082967.0,752082967.0,SALLIE,68174929.0,555219015.0,SALLIE,68174929.0,555219015.0,B,True,Gen1,Easton,555219015,Gen1,555219015,Pat,631311759,800981516,SALLIE,68174929,68174929,Ralph,800981516,,68174929,C,555219015,C,68174929,C,555219015,C
81,REGAN,Black Velvet,613892376.0,613892376.0,HWA,265602119.0,555219015.0,HWA,265602119.0,555219015.0,B,True,Gen1,Easton,555219015,Gen1,555219015,Pat,631311759,800981516,HWA,265602119,265602119,Ralph,800981516,,265602119,C,555219015,C,265602119,C,555219015,C
82,Karl,Low,613892376.0,613892376.0,HWA,265602119.0,555219015.0,HWA,265602119.0,555219015.0,B,True,Gen1,Easton,555219015,Gen1,555219015,Pat,631311759,800981516,HWA,265602119,265602119,Ralph,800981516,,265602119,C,555219015,C,265602119,C,555219015,C
83,LILLIAN,Sex Type Thing,92600470.0,92600470.0,FERMINA,167740021.0,555219015.0,FERMINA,167740021.0,555219015.0,B,True,Gen1,Easton,555219015,Gen1,555219015,Pat,631311759,800981516,FERMINA,167740021,167740021,Ralph,800981516,,167740021,B,555219015,C,167740021,B,555219015,C
84,TINA,Road To Nowhere,50753116.0,50753116.0,FERMINA,167740021.0,555219015.0,FERMINA,167740021.0,555219015.0,B,True,Gen1,Easton,555219015,Gen1,555219015,Pat,631311759,800981516,FERMINA,167740021,167740021,Ralph,800981516,,167740021,B,555219015,C,167740021,B,555219015,C
85,TAMEIKA,Summertime Blues,170262982.0,170262982.0,GWENN,109882960.0,555219015.0,GWENN,109882960.0,555219015.0,C,False,Gen1,Easton,555219015,Gen1,555219015,Pat,631311759,800981516,GWENN,109882960,109882960,Ralph,800981516,,109882960,A,555219015,C,109882960,A,555219015,C
86,TAMEIKA,Summertime Blues,170262982.0,170262982.0,GWENN,109882960.0,555219015.0,GWENN,109882960.0,555219015.0,C,False,Gen1,Easton,555219015,Gen1,555219015,Pat,631311759,800981516,Randy,109882960,109882960,Ralph,800981516,,109882960,A,555219015,C,109882960,A,555219015,C
87,CHING,You Never Give Me Your Money,547557639.0,547557639.0,LISE,823242036.0,555219015.0,LISE,823242036.0,555219015.0,C,False,Gen1,Easton,555219015,Gen1,555219015,Pat,631311759,800981516,LISE,823242036,823242036,Ralph,800981516,,823242036,B,555219015,C,823242036,B,555219015,C
88,Neil,Stone Free,343580010.0,343580010.0,AURA,931542825.0,555219015.0,AURA,931542825.0,555219015.0,A,False,Gen1,Easton,555219015,Gen1,555219015,Pat,631311759,800981516,AURA,931542825,931542825,Ralph,800981516,,931542825,C,555219015,C,931542825,C,555219015,C
