,Name,Favorite_Song,C_ID_t,E_ID_t,Mother,PH_ID_Chicken,PR_ID_Chicken,PH_Name_t,PH_ID_Egg,PR_ID_Egg,I_LOC,NW,Parent_Gen,Father,C_ID_Father,Generation,E_ID_Father,PH_Name_Father,PH_ID,PR_ID,NameCMM,GrandMother,C_IDCMM,E_IDCMM,GrandFather,C_ID_Maternal_Father,E_ID_Maternal_Father,E_IDCM,Mother_I_LOC,E_ID_FatherIL,Father_I_LOC,E_ID,GrandMother_I_LOC,GrandFather_I_LOC,Name_y,Cousin
10,LAVINA,I Can't Quit You Baby,30720979.0,30720979.0,SONG,38690046.0,955524027.0,SONG,38690046.0,955524027.0,C,False,Gen1,Tommy,955524027,Gen1,955524027,Mary,225766667,800981516,SONG,Mary,38690046,38690046,Ralph,800981516,,38690046,B,955524027,C,38690046,B,B,LAVINA,KITTY
11,Judah,Uncle Albert/Admiral Halsey,705993393.0,705993393.0,SONG,38690046.0,542838249.0,SONG,38690046.0,542838249.0,A,False,Gen1,Vincenzo,542838249,Gen1,542838249,Mary,225766667,800981516,SONG,Mary,38690046,38690046,Ralph,800981516,,38690046,B,542838249,A,38690046,B,B,Judah,RENATE
12,SHANE,I Feel Fine,228915703.0,228915703.0,SONG,38690046.0,628855526.0,SONG,38690046.0,628855526.0,A,False,Gen1,Tristin,628855526,Gen1,628855526,Barb,397591248,800981516,SONG,Mary,38690046,38690046,Ralph,800981516,,38690046,B,628855526,B,38690046,B,B,SHANE,Eddie
13,ESTELLA,Blackbird,465816252.0,465816252.0,SONG,38690046.0,280225309.0,SONG,38690046.0,280225309.0,C,False,Gen1,Heriberto,280225309,Gen1,280225309,Mary,225766667,800981516,SONG,Mary,38690046,38690046,Ralph,800981516,,38690046,B,280225309,A,38690046,B,B,ESTELLA,BONITA
14,ROSEMARIE,I'm A Man,434849994.0,434849994.0,SONG,38690046.0,167740021.0,SONG,38690046.0,167740021.0,C,False,Gen1,Kameron,167740021,Gen1,167740021,Mary,225766667,800981516,SONG,Mary,38690046,38690046,Ralph,800981516,,38690046,B,167740021,B,38690046,B,B,ROSEMARIE,Judah
15,ELMA,Hotel Illness,212222484.0,212222484.0,SONG,38690046.0,553394192.0,SONG,38690046.0,553394192.0,A,False,Gen1,Dashawn,553394192,Gen1,553394192,Pat,631311759,800981516,SONG,Mary,38690046,38690046,Ralph,800981516,,38690046,B,553394192,A,38690046,B,B,ELMA,Cole
16,HOA,Night Prowler,61499165.0,61499165.0,SONG,38690046.0,287055622.0,SONG,38690046.0,287055622.0,B,True,Gen1,Eli,287055622,Gen1,287055622,Pat,631311759,800981516,SONG,Mary,38690046,38690046,Ralph,800981516,,38690046,B,287055622,A,38690046,B,B,HOA,INGER
17,STORMY,Green River,27909915.0,27909915.0,SONG,38690046.0,600554862.0,SONG,38690046.0,600554862.0,A,False,Gen1,Reid,600554862,Gen1,600554862,Liz,630559425,800981516,SONG,Mary,38690046,38690046,Ralph,800981516,,38690046,B,600554862,A,38690046,B,B,STORMY,RETHA
18,REGENA,Wild Wild Life,540361115.0,540361115.0,SONG,38690046.0,197873604.0,SONG,38690046.0,197873604.0,C,False,Gen1,Douglas,197873604,Gen1,197873604,Pat,631311759,800981516,SONG,Mary,38690046,38690046,Ralph,800981516,,38690046,B,197873604,C,38690046,B,B,REGENA,Sabastian
19,Ismael,To Hell With the Devil,120478000.0,120478000.0,SONG,38690046.0,197873604.0,SONG,38690046.0,197873604.0,B,True,Gen1,Douglas,197873604,Gen1,197873604,Pat,631311759,800981516,SONG,Mary,38690046,38690046,Ralph,800981516,,38690046,B,197873604,C,38690046,B,B,Ismael,GAIL
20,Emilio,The Break Up Song,952455311.0,952455311.0,SONG,38690046.0,197873604.0,SONG,38690046.0,197873604.0,C,False,Gen1,Douglas,197873604,Gen1,197873604,Pat,631311759,800981516,SONG,Mary,38690046,38690046,Ralph,800981516,,38690046,B,197873604,C,38690046,B,B,Emilio,Royce
21,Jakob,Hocus Pocus,258968523.0,258968523.0,GWENN,884986770.0,773595312.0,GWENN,884986770.0,773595312.0,B,True,Gen1,Easton,773595312,Gen1,773595312,Barb,397591248,800981516,GWENN,Pat,884986770,884986770,Ralph,800981516,,884986770,B,773595312,C,884986770,B,B,Jakob,Dandre
22,JACQUILINE,You Can't Always Get What You Want,669303434.0,669303434.0,GWENN,884986770.0,870351723.0,GWENN,884986770.0,870351723.0,A,False,Gen1,Lincoln,870351723,Gen1,870351723,Pat,631311759,800981516,GWENN,Pat,884986770,884986770,Ralph,800981516,,884986770,B,870351723,A,884986770,B,B,JACQUILINE,ECHO
23,RAGUEL,Highway Star,98894487.0,98894487.0,GWENN,884986770.0,787976750.0,GWENN,884986770.0,787976750.0,A,False,Gen1,Vincent,787976750,Gen1,787976750,Barb,397591248,800981516,GWENN,Pat,884986770,884986770,Ralph,800981516,,884986770,B,787976750,B,884986770,B,B,RAGUEL,BRITTA
24,Xander,Fooled around and Fell in Love,348404523.0,348404523.0,GWENN,884986770.0,787976750.0,GWENN,884986770.0,787976750.0,B,True,Gen1,Vincent,787976750,Gen1,787976750,Barb,397591248,800981516,GWENN,Pat,884986770,884986770,Ralph,800981516,,884986770,B,787976750,B,884986770,B,B,Xander,ETHYL
25,ZENOBIA,Top of the World,439831362.0,439831362.0,GWENN,884986770.0,542838249.0,GWENN,884986770.0,542838249.0,A,False,Gen1,Vincenzo,542838249,Gen1,542838249,Mary,225766667,800981516,GWENN,Pat,884986770,884986770,Ralph,800981516,,884986770,B,542838249,A,884986770,B,B,ZENOBIA,THUY
26,KENIA,Sweet Home Alabama,319286953.0,319286953.0,GWENN,884986770.0,628855526.0,GWENN,884986770.0,628855526.0,A,False,Gen1,Tristin,628855526,Gen1,628855526,Barb,397591248,800981516,GWENN,Pat,884986770,884986770,Ralph,800981516,,884986770,B,628855526,B,884986770,B,B,KENIA,MARYBETH
27,Dan,She's a Rainbow,378427631.0,378427631.0,GWENN,884986770.0,628855526.0,GWENN,884986770.0,628855526.0,A,False,Gen1,Tristin,628855526,Gen1,628855526,Barb,397591248,800981516,GWENN,Pat,884986770,884986770,Ralph,800981516,,884986770,B,628855526,B,884986770,B,B,Dan,Blaze
28,Nigel,Changes,887959556.0,887959556.0,GWENN,884986770.0,628855526.0,GWENN,884986770.0,628855526.0,C,False,Gen1,Tristin,628855526,Gen1,628855526,Barb,397591248,800981516,GWENN,Pat,884986770,884986770,Ralph,800981516,,884986770,B,628855526,B,884986770,B,B,Nigel,MELANIA
29,LEANA,All Star,34876099.0,34876099.0,GWENN,884986770.0,287055622.0,GWENN,884986770.0,287055622.0,C,False,Gen1,Eli,287055622,Gen1,287055622,Pat,631311759,800981516,GWENN,Pat,884986770,884986770,Ralph,800981516,,884986770,B,287055622,A,884986770,B,B,LEANA,ROBBIN
30,Wesley,Lay Down Sally,705415461.0,705415461.0,GWENN,884986770.0,473017162.0,GWENN,884986770.0,473017162.0,C,False,Gen1,Derrick,473017162,Gen1,473017162,Pat,631311759,800981516,GWENN,Pat,884986770,884986770,Ralph,800981516,,884986770,B,473017162,A,884986770,B,B,Wesley,Connor
31,Marvin,Never,85140244.0,85140244.0,GWENN,884986770.0,866881069.0,GWENN,884986770.0,866881069.0,C,False,Gen1,Anderson,866881069,Gen1,866881069,Barb,397591248,800981516,GWENN,Pat,884986770,884986770,Ralph,800981516,,884986770,B,866881069,B,884986770,B,B,Marvin,Carson
32,Marcus,You're Going To Lose That Girl,900181960.0,900181960.0,GWENN,884986770.0,866881069.0,GWENN,884986770.0,866881069.0,A,False,Gen1,Anderson,866881069,Gen1,866881069,Barb,397591248,800981516,GWENN,Pat,884986770,884986770,Ralph,800981516,,884986770,B,866881069,B,884986770,B,B,Marcus,Leon
33,BRITTA,Layla,922608051.0,922608051.0,GWENN,884986770.0,334058719.0,GWENN,884986770.0,334058719.0,A,False,Gen1,Marques,334058719,Gen1,334058719,Pat,631311759,800981516,GWENN,Pat,884986770,884986770,Ralph,800981516,,884986770,B,334058719,C,884986770,B,B,BRITTA,JAYNA
34,CAROLA,Threshold/Jet Airliner,160748929.0,160748929.0,GWENN,884986770.0,200097845.0,GWENN,884986770.0,200097845.0,C,False,Gen1,Ralph,200097845,Gen1,200097845,Pat,631311759,800981516,GWENN,Pat,884986770,884986770,Ralph,800981516,,884986770,B,200097845,B,884986770,B,B,CAROLA,Tyree
35,JULIA,Best Of Both Worlds,902532966.0,902532966.0,GWENN,884986770.0,536339090.0,GWENN,884986770.0,536339090.0,C,False,Gen1,Glenn,536339090,Gen1,536339090,Barb,397591248,800981516,GWENN,Pat,884986770,884986770,Ralph,800981516,,884986770,B,536339090,C,884986770,B,B,JULIA,Kendrick
36,Rogelio,Pulling Mussels,881669603.0,881669603.0,GWENN,884986770.0,763066813.0,GWENN,884986770.0,763066813.0,B,True,Gen1,Javon,763066813,Gen1,763066813,Liz,630559425,800981516,GWENN,Pat,884986770,884986770,Ralph,800981516,,884986770,B,763066813,B,884986770,B,B,Rogelio,MISTI
37,Bryson,Tired of Waiting,894650348.0,894650348.0,GWENN,884986770.0,767163035.0,GWENN,884986770.0,767163035.0,C,False,Gen1,Rogelio,767163035,Gen1,767163035,Pat,631311759,800981516,GWENN,Pat,884986770,884986770,Ralph,800981516,,884986770,B,767163035,B,884986770,B,B,Bryson,Turner
38,DEEDEE,Fool for Your Loving,405472001.0,405472001.0,GWENN,884986770.0,14586865.0,GWENN,884986770.0,14586865.0,B,True,Gen1,Ethan,14586865,Gen1,14586865,Barb,397591248,800981516,GWENN,Pat,884986770,884986770,Ralph,800981516,,884986770,B,14586865,A,884986770,B,B,DEEDEE,Dallin
39,Efrain,Dancing In the Dark,268661313.0,268661313.0,GWENN,884986770.0,890606190.0,GWENN,884986770.0,890606190.0,C,False,Gen1,Bobby,890606190,Gen1,890606190,Barb,397591248,800981516,GWENN,Pat,884986770,884986770,Ralph,800981516,,884986770,B,890606190,C,884986770,B,B,Efrain,Ladarius
40,Augustus,Something To Believe In,257689289.0,257689289.0,GWENN,884986770.0,823242036.0,GWENN,884986770.0,823242036.0,A,False,Gen1,Warren,823242036,Gen1,823242036,Liz,630559425,800981516,GWENN,Pat,884986770,884986770,Ralph,800981516,,884986770,B,823242036,C,884986770,B,B,Augustus,Nickolas
41,Demarco,Fooled around and Fell in Love,422935442.0,422935442.0,GWENN,884986770.0,618028080.0,GWENN,884986770.0,618028080.0,C,False,Gen1,Howard,618028080,Gen1,618028080,Pat,631311759,800981516,GWENN,Pat,884986770,884986770,Ralph,800981516,,884986770,B,618028080,A,884986770,B,B,Demarco,GERALDINE
42,LINNEA,Wicked Sensation,870011705.0,870011705.0,SHAROLYN,59922539.0,773595312.0,SHAROLYN,59922539.0,773595312.0,B,True,Gen1,Easton,773595312,Gen1,773595312,Barb,397591248,800981516,SHAROLYN,Mary,59922539,59922539,Ralph,800981516,,59922539,A,773595312,C,59922539,A,A,LINNEA,Octavio
43,Dustin,Sgt. Pepper Inner Groove,834480212.0,834480212.0,SHAROLYN,59922539.0,443353346.0,SHAROLYN,59922539.0,443353346.0,C,False,Gen1,Samir,443353346,Gen1,443353346,Mary,225766667,800981516,SHAROLYN,Mary,59922539,59922539,Ralph,800981516,,59922539,A,443353346,A,59922539,A,A,Dustin,CLARIBEL
44,Marc,We're Ready,139604495.0,139604495.0,SHAROLYN,59922539.0,787976750.0,SHAROLYN,59922539.0,787976750.0,C,False,Gen1,Vincent,787976750,Gen1,787976750,Barb,397591248,800981516,SHAROLYN,Mary,59922539,59922539,Ralph,800981516,,59922539,A,787976750,B,59922539,A,A,Marc,Irvin
45,Rashad,We Just Disagree,634309687.0,634309687.0,SHAROLYN,59922539.0,787976750.0,SHAROLYN,59922539.0,787976750.0,A,False,Gen1,Vincent,787976750,Gen1,787976750,Barb,397591248,800981516,SHAROLYN,Mary,59922539,59922539,Ralph,800981516,,59922539,A,787976750,B,59922539,A,A,Rashad,Octavio
46,Rick,Don't Stop Me Now,730193743.0,730193743.0,SHAROLYN,59922539.0,280225309.0,SHAROLYN,59922539.0,280225309.0,B,True,Gen1,Heriberto,280225309,Gen1,280225309,Mary,225766667,800981516,SHAROLYN,Mary,59922539,59922539,Ralph,800981516,,59922539,A,280225309,A,59922539,A,A,Rick,Demetrius
47,Marcelo,Get Back,736739351.0,736739351.0,SHAROLYN,59922539.0,167740021.0,SHAROLYN,59922539.0,167740021.0,A,False,Gen1,Kameron,167740021,Gen1,167740021,Mary,225766667,800981516,SHAROLYN,Mary,59922539,59922539,Ralph,800981516,,59922539,A,167740021,B,59922539,A,A,Marcelo,RENEA
48,LEONORA,TIME IN A BOTTLE,143582371.0,143582371.0,SHAROLYN,59922539.0,473017162.0,SHAROLYN,59922539.0,473017162.0,A,False,Gen1,Derrick,473017162,Gen1,473017162,Pat,631311759,800981516,SHAROLYN,Mary,59922539,59922539,Ralph,800981516,,59922539,A,473017162,A,59922539,A,A,LEONORA,KRISTAN
49,SHAWNTA,Rio,304090755.0,304090755.0,SHAROLYN,59922539.0,473017162.0,SHAROLYN,59922539.0,473017162.0,A,False,Gen1,Derrick,473017162,Gen1,473017162,Pat,631311759,800981516,SHAROLYN,Mary,59922539,59922539,Ralph,800981516,,59922539,A,473017162,A,59922539,A,A,SHAWNTA,JENNIFER
50,VONDA,I Don't Care Anymore,650540144.0,650540144.0,SHAROLYN,59922539.0,789856705.0,SHAROLYN,59922539.0,789856705.0,C,False,Gen1,Gaige,789856705,Gen1,789856705,Barb,397591248,800981516,SHAROLYN,Mary,59922539,59922539,Ralph,800981516,,59922539,A,789856705,A,59922539,A,A,VONDA,Kelvin
51,CATHY,When The Levee Breaks,265673758.0,265673758.0,SHAROLYN,59922539.0,509012901.0,SHAROLYN,59922539.0,509012901.0,A,False,Gen1,Jeremiah,509012901,Gen1,509012901,Pat,631311759,800981516,SHAROLYN,Mary,59922539,59922539,Ralph,800981516,,59922539,A,509012901,B,59922539,A,A,CATHY,Asa
52,Salvatore,When You Dance I Can Really Love,825875893.0,825875893.0,SHAROLYN,59922539.0,141566545.0,SHAROLYN,59922539.0,141566545.0,C,False,Gen1,Billy,141566545,Gen1,141566545,Barb,397591248,800981516,SHAROLYN,Mary,59922539,59922539,Ralph,800981516,,59922539,A,141566545,C,59922539,A,A,Salvatore,Kirk
53,ROSETTE,Seasons of Wither,514127684.0,514127684.0,SHAROLYN,59922539.0,200097845.0,SHAROLYN,59922539.0,200097845.0,B,True,Gen1,Ralph,200097845,Gen1,200097845,Pat,631311759,800981516,SHAROLYN,Mary,59922539,59922539,Ralph,800981516,,59922539,A,200097845,B,59922539,A,A,ROSETTE,ELMA
54,DORA,Horizontal Bop,113341725.0,113341725.0,SHAROLYN,59922539.0,536339090.0,SHAROLYN,59922539.0,536339090.0,B,True,Gen1,Glenn,536339090,Gen1,536339090,Barb,397591248,800981516,SHAROLYN,Mary,59922539,59922539,Ralph,800981516,,59922539,A,536339090,C,59922539,A,A,DORA,Gordon
55,Josiah,You Shook Me All Night Long,461382462.0,461382462.0,SHAROLYN,59922539.0,536339090.0,SHAROLYN,59922539.0,536339090.0,A,False,Gen1,Glenn,536339090,Gen1,536339090,Barb,397591248,800981516,SHAROLYN,Mary,59922539,59922539,Ralph,800981516,,59922539,A,536339090,C,59922539,A,A,Josiah,Conner
56,PHOEBE,Where To Now St. Peter,896305397.0,896305397.0,SHAROLYN,59922539.0,690515072.0,SHAROLYN,59922539.0,690515072.0,C,False,Gen1,Draven,690515072,Gen1,690515072,Pat,631311759,800981516,SHAROLYN,Mary,59922539,59922539,Ralph,800981516,,59922539,A,690515072,A,59922539,A,A,PHOEBE,Manuel
57,MAVIS,Dogs,95732645.0,95732645.0,SHAROLYN,59922539.0,521167154.0,SHAROLYN,59922539.0,521167154.0,A,False,Gen1,Tobias,521167154,Gen1,521167154,Mary,225766667,800981516,SHAROLYN,Mary,59922539,59922539,Ralph,800981516,,59922539,A,521167154,C,59922539,A,A,MAVIS,Jaiden
58,Johnathan,Big Time,450306667.0,450306667.0,SHAROLYN,59922539.0,521167154.0,SHAROLYN,59922539.0,521167154.0,B,True,Gen1,Tobias,521167154,Gen1,521167154,Mary,225766667,800981516,SHAROLYN,Mary,59922539,59922539,Ralph,800981516,,59922539,A,521167154,C,59922539,A,A,Johnathan,Jean
59,PEGGIE,Heartbreaker,757737504.0,757737504.0,SHAROLYN,59922539.0,763066813.0,SHAROLYN,59922539.0,763066813.0,B,True,Gen1,Javon,763066813,Gen1,763066813,Liz,630559425,800981516,SHAROLYN,Mary,59922539,59922539,Ralph,800981516,,59922539,A,763066813,B,59922539,A,A,PEGGIE,ALVA
60,Skylar,Iris,445424943.0,445424943.0,SHAROLYN,59922539.0,763066813.0,SHAROLYN,59922539.0,763066813.0,A,False,Gen1,Javon,763066813,Gen1,763066813,Liz,630559425,800981516,SHAROLYN,Mary,59922539,59922539,Ralph,800981516,,59922539,A,763066813,B,59922539,A,A,Skylar,Gordon
61,GUDRUN,Roll Over Beethoven,619798882.0,619798882.0,SHAROLYN,59922539.0,767163035.0,SHAROLYN,59922539.0,767163035.0,B,True,Gen1,Rogelio,767163035,Gen1,767163035,Pat,631311759,800981516,SHAROLYN,Mary,59922539,59922539,Ralph,800981516,,59922539,A,767163035,B,59922539,A,A,GUDRUN,Jesus
62,Cody,No No Song,545129097.0,545129097.0,SHAROLYN,59922539.0,767163035.0,SHAROLYN,59922539.0,767163035.0,A,False,Gen1,Rogelio,767163035,Gen1,767163035,Pat,631311759,800981516,SHAROLYN,Mary,59922539,59922539,Ralph,800981516,,59922539,A,767163035,B,59922539,A,A,Cody,Brennen
63,JAYMIE,Rockin' Into the Night,877731578.0,877731578.0,SHAROLYN,59922539.0,14586865.0,SHAROLYN,59922539.0,14586865.0,A,False,Gen1,Ethan,14586865,Gen1,14586865,Barb,397591248,800981516,SHAROLYN,Mary,59922539,59922539,Ralph,800981516,,59922539,A,14586865,A,59922539,A,A,JAYMIE,Keon
64,Kavon,Some Kind of Wonderful,367947500.0,367947500.0,SHAROLYN,59922539.0,14586865.0,SHAROLYN,59922539.0,14586865.0,B,True,Gen1,Ethan,14586865,Gen1,14586865,Barb,397591248,800981516,SHAROLYN,Mary,59922539,59922539,Ralph,800981516,,59922539,A,14586865,A,59922539,A,A,Kavon,LUIS
65,Bruno,Hey Nineteen,599309024.0,599309024.0,SHAROLYN,59922539.0,14586865.0,SHAROLYN,59922539.0,14586865.0,B,True,Gen1,Ethan,14586865,Gen1,14586865,Barb,397591248,800981516,SHAROLYN,Mary,59922539,59922539,Ralph,800981516,,59922539,A,14586865,A,59922539,A,A,Bruno,Asa
66,Eddie,IT WON'T BE LONG,347108951.0,347108951.0,SHAROLYN,59922539.0,890606190.0,SHAROLYN,59922539.0,890606190.0,C,False,Gen1,Bobby,890606190,Gen1,890606190,Barb,397591248,800981516,SHAROLYN,Mary,59922539,59922539,Ralph,800981516,,59922539,A,890606190,C,59922539,A,A,Eddie,Koby
67,MELISSA,IT WON'T BE LONG,635628062.0,635628062.0,SHAROLYN,59922539.0,849068796.0,SHAROLYN,59922539.0,849068796.0,B,True,Gen1,Alfonso,849068796,Gen1,849068796,Barb,397591248,800981516,SHAROLYN,Mary,59922539,59922539,Ralph,800981516,,59922539,A,849068796,C,59922539,A,A,MELISSA,MIA
68,Zakary,Wishing Well,714371426.0,714371426.0,SHAROLYN,59922539.0,849068796.0,SHAROLYN,59922539.0,849068796.0,C,False,Gen1,Alfonso,849068796,Gen1,849068796,Barb,397591248,800981516,SHAROLYN,Mary,59922539,59922539,Ralph,800981516,,59922539,A,849068796,C,59922539,A,A,Zakary,Clayton
69,Peter,Last Child,54526529.0,54526529.0,SHAROLYN,59922539.0,849068796.0,SHAROLYN,59922539.0,849068796.0,A,False,Gen1,Alfonso,849068796,Gen1,849068796,Barb,397591248,800981516,SHAROLYN,Mary,59922539,59922539,Ralph,800981516,,59922539,A,849068796,C,59922539,A,A,Peter,JUSTIN
70,Rogelio,Empty Spaces,886918629.0,886918629.0,SHAROLYN,59922539.0,862253912.0,SHAROLYN,59922539.0,862253912.0,C,False,Gen1,Nigel,862253912,Gen1,862253912,Pat,631311759,800981516,SHAROLYN,Mary,59922539,59922539,Ralph,800981516,,59922539,A,862253912,B,59922539,A,A,Rogelio,Kevin
71,ESTELLA,No Time,32940298.0,32940298.0,SHAROLYN,59922539.0,216432846.0,SHAROLYN,59922539.0,216432846.0,B,True,Gen1,Miguel,216432846,Gen1,216432846,Liz,630559425,800981516,SHAROLYN,Mary,59922539,59922539,Ralph,800981516,,59922539,A,216432846,B,59922539,A,A,ESTELLA,Carlos
72,Elijah,Bring It On Home,232173979.0,232173979.0,SHAROLYN,59922539.0,216432846.0,SHAROLYN,59922539.0,216432846.0,B,True,Gen1,Miguel,216432846,Gen1,216432846,Liz,630559425,800981516,SHAROLYN,Mary,59922539,59922539,Ralph,800981516,,59922539,A,216432846,B,59922539,A,A,Elijah,Sincere
73,Lukas,AS FAR AS YOU CAN SEE (AS MU,996920976.0,996920976.0,ILIANA,598175413.0,773595312.0,ILIANA,598175413.0,773595312.0,C,False,Gen1,Easton,773595312,Gen1,773595312,Barb,397591248,800981516,ILIANA,Liz,598175413,598175413,Ralph,800981516,,598175413,C,773595312,C,598175413,C,C,Lukas,Zander
74,Luca,Women,988498811.0,988498811.0,ILIANA,598175413.0,967323615.0,ILIANA,598175413.0,967323615.0,C,False,Gen1,Muhammad,967323615,Gen1,967323615,Barb,397591248,800981516,ILIANA,Liz,598175413,598175413,Ralph,800981516,,598175413,C,967323615,B,598175413,C,C,Luca,Domenic
75,MANDIE,Mistral Wind,282876868.0,282876868.0,ILIANA,598175413.0,457028849.0,ILIANA,598175413.0,457028849.0,B,True,Gen1,Deonte,457028849,Gen1,457028849,Pat,631311759,800981516,ILIANA,Liz,598175413,598175413,Ralph,800981516,,598175413,C,457028849,C,598175413,C,C,MANDIE,Todd
76,Scott,Paint It Black,964350220.0,964350220.0,ILIANA,598175413.0,457028849.0,ILIANA,598175413.0,457028849.0,A,False,Gen1,Deonte,457028849,Gen1,457028849,Pat,631311759,800981516,ILIANA,Liz,598175413,598175413,Ralph,800981516,,598175413,C,457028849,C,598175413,C,C,Scott,Nikhil
77,LUANNA,Sirens,545922093.0,545922093.0,ILIANA,598175413.0,762431730.0,ILIANA,598175413.0,762431730.0,B,True,Gen1,Kamron,762431730,Gen1,762431730,Liz,630559425,800981516,ILIANA,Liz,598175413,598175413,Ralph,800981516,,598175413,C,762431730,B,598175413,C,C,LUANNA,JANEAN
78,ETTA,I've Got A Feeling,722222128.0,722222128.0,ILIANA,598175413.0,443353346.0,ILIANA,598175413.0,443353346.0,B,True,Gen1,Samir,443353346,Gen1,443353346,Mary,225766667,800981516,ILIANA,Liz,598175413,598175413,Ralph,800981516,,598175413,C,443353346,A,598175413,C,C,ETTA,ALVA
79,DELIA,Juke Box Hero,447092150.0,447092150.0,ILIANA,598175413.0,787976750.0,ILIANA,598175413.0,787976750.0,A,False,Gen1,Vincent,787976750,Gen1,787976750,Barb,397591248,800981516,ILIANA,Liz,598175413,598175413,Ralph,800981516,,598175413,C,787976750,B,598175413,C,C,DELIA,ELSA
80,Johan,Gone Gone Gone,35791117.0,35791117.0,ILIANA,598175413.0,102634120.0,ILIANA,598175413.0,102634120.0,A,False,Gen1,Bernard,102634120,Gen1,102634120,Pat,631311759,800981516,ILIANA,Liz,598175413,598175413,Ralph,800981516,,598175413,C,102634120,A,598175413,C,C,Johan,Gustavo
81,BERNADETTE,Life's Been Good,708037817.0,708037817.0,ILIANA,598175413.0,542838249.0,ILIANA,598175413.0,542838249.0,A,False,Gen1,Vincenzo,542838249,Gen1,542838249,Mary,225766667,800981516,ILIANA,Liz,598175413,598175413,Ralph,800981516,,598175413,C,542838249,A,598175413,C,C,BERNADETTE,DELIA
82,Ty,Mama Kin,589135458.0,589135458.0,ILIANA,598175413.0,167740021.0,ILIANA,598175413.0,167740021.0,C,False,Gen1,Kameron,167740021,Gen1,167740021,Mary,225766667,800981516,ILIANA,Liz,598175413,598175413,Ralph,800981516,,598175413,C,167740021,B,598175413,C,C,Ty,CORDELIA
